"Country","TIME","Time","Unit.Code","Average_Annual_Salary"
"113","Germany",2000,2000,"USD",44597
"115","Germany",2002,2002,"USD",45145
"117","Germany",2004,2004,"USD",45054
"119","Germany",2006,2006,"USD",45031
"121","Germany",2008,2008,"USD",45295
"123","Germany",2010,2010,"USD",45350
"125","Germany",2012,2012,"USD",46616
"128","Greece",2001,2001,"USD",24699
"130","Greece",2003,2003,"USD",27625
"132","Greece",2005,2005,"USD",29937
"134","Greece",2007,2007,"USD",30680
"136","Greece",2009,2009,"USD",31786
"138","Greece",2011,2011,"USD",27333
"140","Greece",2013,2013,"USD",24930.873
