"Country","TIME","Time","Unit","Annual_Work_Hours"
"223","Germany",2001,2001,"Hours",1352.7
"225","Germany",2003,2003,"Hours",1339.1
"227","Germany",2005,2005,"Hours",1323.6
"229","Germany",2007,2007,"Hours",1346.4
"231","Germany",2009,2009,"Hours",1289.2
"233","Germany",2011,2011,"Hours",1315.4
"235","Germany",2013,2013,"Hours",1291.1
"237","Germany",2000,2000,"Hours",1452
"239","Germany",2002,2002,"Hours",1430.9
"241","Germany",2004,2004,"Hours",1422.2
"243","Germany",2006,2006,"Hours",1424.7
"245","Germany",2008,2008,"Hours",1418.4
"247","Germany",2010,2010,"Hours",1389.9
"249","Germany",2012,2012,"Hours",1374.2
"251","Germany",2014,2014,"Hours",1371
"252","Greece",2000,2000,"Hours",1818
"254","Greece",2002,2002,"Hours",1818
"256","Greece",2004,2004,"Hours",1802
"258","Greece",2006,2006,"Hours",1795
"260","Greece",2008,2008,"Hours",1802
"262","Greece",2010,2010,"Hours",1751
"264","Greece",2012,2012,"Hours",1727
"266","Greece",2014,2014,"Hours",1733
"268","Greece",2001,2001,"Hours",2101
"270","Greece",2003,2003,"Hours",2091
"272","Greece",2005,2005,"Hours",2136
"274","Greece",2007,2007,"Hours",2111
"276","Greece",2009,2009,"Hours",2081
"278","Greece",2011,2011,"Hours",2131
"280","Greece",2013,2013,"Hours",2060
